ISOCSUID;FirstOfCLAF;FirstOfSumOfPROP
SN1;ARh;100
SN10;ARh;100
SN100;CMd;60
SN101;RGe;50
SN102;LPd;50
SN103;ACf;100
SN104;RGe;60
SN105;CMv;50
SN106;RGe;100
SN107;RGe;100
SN108;RGd;100
SN109;LPd;100
SN11;SCg;45
SN110;LPd;70
SN111;LPd;100
SN112;LPq;100
SN113;LPq;60
SN114;RGd;100
SN115;LPq;60
SN116;LPq;50
SN117;RGe;50
SN118;GLe;100
SN119;SNh;70
SN12;GLe;40
SN120;RGe;70
SN121;VRe;100
SN122;GLe;50
SN123;RGe;50
SN124;RGe;80
SN125;CMg;50
SN126;LPd;60
SN127;LPd;75
SN128;RGe;50
SN129;CMe;50
SN13;SCh;70
SN130;RGe;60
SN131;VRe;100
SN132;RGe;100
SN133;VRe;50
SN134;LPq;40
SN135;LPd;40
SN136;RGe;60
SN137;RGd;70
SN138;RGd;60
SN139;LPq;50
SN14;FLt;70
SN140;RGd;50
SN141;LPd;40
SN142;ACf;50
SN143;LPq;50
SN144;ACf;100
SN145;ACf;100
SN146;ACg;100
SN147;GLd;100
SN148;ACf;50
SN149;LPe;30
SN15;GLe;100
SN16;GLe;100
SN17;GLe;60
SN18;FLt;100
SN19;GLu;70
SN2;ARh;100
SN20;GLe;75
SN21;RGd;60
SN22;GLe;100
SN23;ACp;100
SN24;GLd;100
SN25;GLd;100
SN26;RGd;100
SN27;GLu;100
SN28;ACh;50
SN29;ARh;100
SN3;ARg;50
SN30;GLe;100
SN31;GLd;50
SN32;GLd;50
SN33;VRe;70
SN34;SCg;100
SN35;AR;100
SN36;ARb;100
SN37;ARb;100
SN38;ARb;70
SN39;CMo;100
SN4;ARb;100
SN40;ACh;70
SN41;ARb;100
SN42;ACh;100
SN43;RGd;100
SN44;ARg;50
SN45;ARo;50
SN46;ARh;100
SN47;ARo;100
SN48;ARh;100
SN49;ARh;100
SN5;ARh;50
SN50;ARh;100
SN51;ARh;100
SN52;GLe;100
SN53;ARh;50
SN54;CMx;100
SN55;LPq;100
SN56;RGd;70
SN57;RGd;50
SN58;RGd;50
SN59;RGg;50
SN6;FLd;80
SN60;RGg;100
SN61;LPq;50
SN62;CMo;70
SN63;LXf;100
SN64;ARl;100
SN65;ARo;100
SN66;ACf;70
SN67;ACf;100
SN68;CMo;50
SN69;GLe;100
SN7;GLu;70
SN70;VRe;100
SN71;ARo;50
SN72;RGd;70
SN73;RGg;70
SN74;RGd;40
SN75;RGe;40
SN76;RGd;60
SN77;RGe;100
SN78;ACh;50
SN79;ACh;100
SN8;FLt;50
SN80;LXf;100
SN81;ACh;55
SN82;RGe;45
SN83;LXf;60
SN84;ARh;100
SN85;GLe;80
SN86;CMo;70
SN87;ARh;100
SN88;CMo;50
SN89;CMo;100
SN9;FLt;100
SN90;RGe;100
SN91;GLe;60
SN92;GLk;100
SN93;VRe;100
SN94;CMg;50
SN95;GLk;80
SN96;GLe;100
SN97;LPq;40
SN98;LPq;40
SN99;CMe;50
SNns1;wat;100
