PRID;PDID;LATI;LNGI;UTMZ;DATM;EAST;NORT;ELEV;SAYR;MNUM;LABO;DRAI;INFR;ORGA;WRBC;WRBS;CLAF;CLAV;PHAS;CLAN;STAX;CLFR
SN002/KAL;BP001;14,26786041;-16,31536102;28;WGS 1984;358109;1577752;;1990;3;;M;;;;;FLe;1989;;;;
SN008C/A001;BP001;15,64472008;-15,99233341;28;WGS 1984;393637;1729885;;1992;2;;W;;;;;ARh;1989;;Dior-deck de dépression;;
SN008C/A004;BP001;15,5144701;-16,28252792;28;WGS 1984;362445;1715641;;1992;2;;W;;;;;ARg;1989;;Dior Deck de vallée;;
SN008C/A013;BP001;15,5574398;-16,27855492;28;WGS 1984;362899;1720393;;1992;4;;W;;;;;ARo;1989;;Dior de plaine dunaire;;
SN008C/B007;BP001;15,46761036;-16,32261086;28;WGS 1984;358113;1710485;;1992;3;;M;;;;;ARg;1989;;Dior  Deck de vallée sèche;;
SN008C/B012;BP001;15,38475037;-16,35280609;28;WGS 1984;354816;1701337;;1992;4;;W;;;;;ARo;1989;;Dior de plaine dunaire;;
SN008C/B014;BP001;15,40694046;-16,08749962;28;WGS 1984;383304;1703631;;1992;4;;S;;;;;ARo;1989;;Dior de plaine dunaire;;
SN008C/B13;BP001;15,40299988;-16,40049934;28;WGS 1984;349709;1703388;;1992;4;;W;;;;;ARh;1989;;Dior de plaine dunaire;;
SN102IAO;FL0;14,90536022;-16,86058426;28;WGS 1984;297491;1648067;;2003;;;W;;;Vetic Plinthosols;;PTe;1998;;;;
SN103IAO;FL0;14,92096996;-16,94788933;28;WGS 1984;290475;1650502;;2003;;;W;;;Haplic Ferralsols;;FRh;1998;;;;
SN105IAO;FL0;14,91666985;-17,07083321;28;WGS 1984;277241;1650145;;2003;;;P;;;Areni-Calcaric Gleysols;;GLe;1998;;;;
SN112IAO;FL0;14,90536022;-16,86055756;28;WGS 1984;276762;1652611;;2003;;;W;;;Calci-Sodic Vertisols;;VRe;1998;;;;
SN113IAO;FL0;14,9106102;-17,00677872;28;WGS 1984;290211;1651390;;2003;;;W;;;Endogleyic Cambisols (Calcaric);;CMg;1998;;;;
SN118IAO;FL0;14,88599968;-17,01300049;28;WGS 1984;293310;1641470;;2003;;;W;;;Abrupti-Endogleyic Luvisols;;LVg;1998;;;;
