ISOC;SUID;DATE;MAPI;MNEL;MXEL;SLOP;RELI;LNDF;RSLO;HYPS;DISS;LITH;WATE;ISOSUID
GM;-9;2007;SN1;;;;;;;;;;0;GM-9
GM;3;2007;SN1;0;23;1;8;LP;W;1;1;UM;0;GM3
GM;7;2007;SN1;0;24;1;7;LP;W;1;1;UM;0;GM7
GM;8;2007;SN1;0;25;1;7;LP;W;1;1;UM;0;GM8
GM;20;2007;SN1;0;79;2;16;LV;W;1;1;UF;0;GM20
GM;22;2007;SN1;0;248;2;19;LV;W;1;1;UF;0;GM22
GM;23;2007;SN1;7;221;1;13;LV;F;1;1;UF;0;GM23
GM;30;2007;SN1;2;222;1;12;LV;W;1;1;UF;0;GM30
GM;34;2007;SN1;0;46;1;13;LV;W;1;1;UF;0;GM34
GM;55;2007;SN1;5;128;1;6;LL;F;1;1;SC2;0;GM55
GM;56;2007;SN1;3;145;1;7;LL;F;1;1;SC2;0;GM56
GM;57;2007;SN1;2;131;1;8;LL;F;1;1;SC2;0;GM57
GM;58;2007;SN1;1;123;1;7;LP;F;1;1;SC2;0;GM58
GM;66;2007;SN1;2;85;1;10;LP;F;1;1;SC2;0;GM66
GM;67;2007;SN1;0;66;1;12;LP;F;1;1;SC2;0;GM67
GM;74;2007;SN1;12;96;1;11;LP;F;1;1;SC2;0;GM74
GM;75;2007;SN1;8;110;1;9;LP;F;1;1;SC2;0;GM75
GM;78;2007;SN1;0;48;1;9;LP;F;1;1;UC;0;GM78
GM;80;2007;SN1;0;54;1;14;LP;F;1;1;UC;0;GM80
GM;81;2007;SN1;2;75;1;15;LP;F;1;1;SC2;0;GM81
GM;82;2007;SN1;13;75;2;19;LP;F;1;1;SC2;0;GM82
GM;83;2007;SN1;2;48;1;10;LP;F;1;1;UE;0;GM83
GM;84;2007;SN1;2;48;1;10;LP;F;1;1;UC;0;GM84
SN;-9;2007;SN1;;;;;;;;;;0;SNns1
SN;1;2007;SN1;8;30;1;11;LP;F;1;1;UE;0;SN1
SN;2;2007;SN1;0;24;1;11;LP;F;1;1;UE;0;SN2
SN;3;2007;SN1;0;23;1;8;LP;W;1;1;UM;0;SN3
SN;4;2007;SN1;0;9;1;7;LP;F;1;1;UM;0;SN4
SN;5;2007;SN1;0;8;1;7;LP;W;1;1;UM;0;SN5
SN;6;2007;SN1;2;15;1;7;LP;W;1;1;UM;0;SN6
SN;7;2007;SN1;0;24;1;7;LP;W;1;1;UM;0;SN7
SN;8;2007;SN1;0;25;1;7;LP;W;1;1;UM;0;SN8
SN;9;2007;SN1;0;14;1;6;LP;W;1;1;UM;0;SN9
SN;10;2007;SN1;0;27;1;10;LP;F;1;1;UM;0;SN10
SN;11;2007;SN1;0;23;2;11;LP;W;1;1;UM;0;SN11
SN;12;2007;SN1;2;8;1;10;LP;W;1;1;UM;0;SN12
SN;13;2007;SN1;0;19;1;9;LP;W;1;1;UM;0;SN13
SN;14;2007;SN1;2;9;1;8;LP;W;1;1;UM;0;SN14
SN;15;2007;SN1;2;9;1;8;LD;W;1;1;UM;0;SN15
SN;16;2007;SN1;3;9;1;8;LD;W;1;1;UM;0;SN16
SN;17;2007;SN1;3;4;1;6;LD;W;1;1;UM;0;SN17
SN;18;2007;SN1;0;8;1;7;LD;W;1;1;UM;0;SN18
SN;19;2007;SN1;0;26;1;10;LP;W;1;1;UM;0;SN19
SN;20;2007;SN1;0;79;2;16;LV;W;1;1;UF;0;SN20
SN;21;2007;SN1;35;203;2;25;LV;W;1;1;UF;0;SN21
SN;22;2007;SN1;0;248;2;19;LV;W;1;1;UF;0;SN22
SN;23;2007;SN1;7;221;1;13;LV;F;1;1;UF;0;SN23
SN;24;2007;SN1;12;115;1;10;LV;W;1;1;UC;0;SN24
SN;25;2007;SN1;23;89;1;8;LP;W;1;1;UC;0;SN25
SN;26;2007;SN1;2;58;1;10;LV;W;1;1;UC;0;SN26
SN;27;2007;SN1;11;92;1;12;LP;W;1;1;UC;0;SN27
SN;28;2007;SN1;2;62;1;10;LV;W;1;1;UF;0;SN28
SN;29;2007;SN1;2;25;1;9;LP;F;1;1;UF;0;SN29
SN;30;2007;SN1;2;222;1;12;LV;W;1;1;UF;0;SN30
SN;31;2007;SN1;4;28;1;11;LV;W;1;1;UF;0;SN31
SN;32;2007;SN1;4;30;1;10;LV;W;1;1;UF;0;SN32
SN;33;2007;SN1;3;35;1;8;LV;W;1;1;UF;0;SN33
